优先级,优先级建议,区域,企业名称,省市,城市,官网（本轮核实）,官网主营（反向验证）,验证结论与修正,联系电话,邮箱,详细地址,社媒（公众号 / 抖音 / 1688 / 其他）,触达路径（细化到联系方式）,行业细分,主营业务（名单口径）,适配案例,初筛分(企业侧/35),成功面,失败面·待核实,建议切入点,来源,信息可靠度,核实日期
S,维持 S —— 160 人 / 3 亿产值已官网证实，正中甜点,长三角,上海雅轩办公家具有限公司,上海,上海嘉定,https://www.spacein.cn（待首页复核）,系统家具 · 空间智能化整体解决方案 · 办公/医疗/教育家具（研发设计生产销售售后）,✓ 一致：2002 年创立、注册资本 10800 万、员工 160 多人、年产值超 3 亿、两个生产基地（海安 + 宁波）共 5 万㎡+ —— 与名单里的『160 人/3 亿/双基地』完全对上,021-51082835（嘉定总部）· 021-52691368（黄浦区徐家汇路 358 号 208 室）· 13916424168,,上海市嘉定区江桥镇金沙江西路 568 号 B 栋 10 层,微信公众号（官网「扫一扫 关注我们的微信」）,总机 021-51082835 转生产/信息负责人；021-52691368 为市区办；邮件先发案例 PDF 再打电话,系统家具,医疗/教育/办公家具、空间智能化整体方案,案例B,28,160人/3亿产值正中甜点；双基地+六品牌→组织隔离与权限需求；三条业务线毛利口径差异大,多基地企业怕影响交付，必须用只读驾驶舱打开；六品牌可能有多套小系统；上海招人成本高，对接人易换,老板手机上的三个数字：在手订单/业务线毛利/异常待办,品牌榜企业页 + city8 企业地址页 · 核实日 2026-09-11,中,2026-09-11
S,新增·优先接触 —— 新三板挂牌（870098）、员工 290 人、5 万㎡工厂：规模正中甜点，且出口 100+ 国自带溯源压力,长三角,江苏赛康医疗设备股份有限公司,江苏,苏州张家港,https://www.jssaikang.com,医疗护理设备与解决方案：16 大品类、500+ 系列（护理床 / 医用推车 / 担架 / 手术床 / 医护配套）,✓ 一致并更强：官网 + 新三板公开披露（870098）证实——2002 年成立、员工 290 人、注册资本 2572 万、5 万㎡工厂、产品用于全球 100+ 国家与国内超千家医疗机构（含 37% 以上三甲医院）。原判断「医用家具」偏窄，实际是「设备 + 家具」双线，齐套与安装场景更重,0512-58652968（公司总机）· 400-828-7009（全国热线）· 17701563232,2355550558@qq.com,江苏省张家港市现代农业示范园区乐红路 35 号（办公：张家港市国泰新天地广场 14 楼）,微信公众号（官网底部二维码入口）；无独立抖音号,先拨 400-828-7009 转市场部，问「医用推车/护理床是否按项目批次交付、有没有序列号台账」；同时看新三板年报里的存货与在制披露（免费且最新）。对口人是运营/供应链负责人，不是前台,医疗设备·护理家具,医疗病床、护理床、医用推车、担架、手术床等护理设备与家具,案例 B,27,新三板挂牌（信息披露压力 + 治理规范）、出口 100+ 国（批次溯源硬要求）、品类 500+ SKU（多品种小批量齐套）,以设备为主、家具为辅，可能已有简易条码系统；出口业务或已上 ERP 含追溯模块；需现场确认打标设备与在制管理现状,从「出口订单齐套 + 批次反查」进：一次发货少一件配件，海外客户索赔的账最直观,官网 jssaikang.com · 东方财富新三板 F10（870098）· 3618 医疗器械网 · 2026-09-12 核实,高（新三板公开披露 + 官网）,2026-09-12
A,新增·优先接触（案例 A 同行业）—— 900 亩厂区、8 条镀锌线 + 自建彩涂线，规模与工序完整度都正对案例 A；无独立官网，走电话 + 招聘口接触,长三角,江苏大力神科技股份有限公司,江苏,镇江丹阳,无独立官网（B2B 商铺：机电之家/名优资源网等；招聘信息在丹阳招聘网与高校就业网）,电商/黄页口径：轧硬卷、彩涂卷（板）、镀锌卷（板），厚度 0.15–0.8mm、宽度 800–1250mm，可按客户要求定颜色,△ 部分：无官网可验，靠工商 + 招聘 + B2B 商铺交叉——900 亩厂区、8 条镀锌生产线（采用美钢联法二锅三位热浸镀锌工艺）、彩涂线配三辊涂装与自动膜厚控制仪；招聘页面显示「公司规模 100–1000 人」、2025 年 4 月仍在招电气/机械/自动化专业（扩产信号）。工艺描述与案例 A 高度吻合，但设备清单与当前在产状态需电话核实,0511-86968388（公司）· 13775330861（李伟，客户经理）,1599246828@qq.com（招聘/简历接收）,江苏省镇江市丹阳市经济开发区机场路 95 号,无官微/抖音线索；以 B2B 商铺（名优资源网、机电之家）+ 招聘平台为线上触点,先打 0511-86968388 转生产/设备，问「8 条镀锌线 + 彩涂线，换规格时的排产与膜厚/色差记录怎么留」；招聘邮箱可反向确认信息化岗位是否在招（有则预算已在）,卷材加工·镀锌彩涂,镀锌卷（板）、彩涂卷（板）、轧硬卷（8 条镀锌线 + 彩涂线）,案例 A,26,案例 A 同工艺（连续辊涂 + 多规格 + 色差/膜厚管控）、900 亩重资产（停机损失大）、2025 年仍在招自动化专业（扩产期）,无官网、公开信息多为 2013 年前后的 B2B 口径，产线增减与当前规模需核实；重资产企业决策慢,用案例 A 的「呆滞分档 + 倒冲精度」原话进，把同行的话摆在桌面上,名优资源网/机电之家商铺 · 丹阳招聘网 · 东南大学就业网（2025-04 招聘）· 2026-09-12 核实,中（无官网，以工商+招聘+B2B 交叉；部分口径老旧）,2026-09-12
A,新增·优先接触 —— 自带软件基因（智慧护理系统）反而说明「硬件交付仍靠人管」，2010 年成立、101–500 人、B 轮融资,长三角,苏州德品医疗科技股份有限公司,江苏,苏州高新区,http://www.szdepin.com,智慧医疗护理系统整体解决方案：1.0 基础护理系统 / 2.0 智慧护理 / 3.0 互联网+护理；护士站、治疗室、病区工作站,✓ 一致：官网 + 公开投融资信息证实——2010 年成立，坐落苏州高新区国家医疗器械产业园，服务国内 500+ 三甲医院、累计 1000+ 医疗机构，产品覆盖 20 多个省市；官网自述「以物联网+理念为指引」，说明其定位在系统集成而非单一家具,0512-66568029（总机）· 400-700-5670（24 小时）· 13915550349,gm@depingroup.com,苏州高新区科技城（国家医疗器械产业园）锦峰路 8 号 12 座,微信公众号「德品医疗」（官网「关注德品微信平台」）,总机转「市场部/交付部」；开场问「护士站是按项目拆单生产还是按库存备货，现场安装的齐套谁盯」——他们做的是项目制交付，痛点一定在齐套与现场变更上,医用家具·智慧护理系统,护士站 / 治疗柜 / 护理工作站的研发制造与整体解决方案,案例 B,26,500+ 三甲医院项目制交付、软硬一体（有信息化语言基础，沟通成本低）、B 轮融资后处于扩张期,已有「智慧护理系统」软件，可能认为自己已数字化；需确认其软件是硬件配套展示还是真的管生产,不谈软件，只谈「项目交付齐套 + 现场变更留痕」：一套护士站到院缺件，工期与罚款怎么算,官网 szdepin.com · 摩熵医药投融资库 · 环球医药网企业百科 · 2026-09-12 核实,中高（官网 + 第三方投融资/医药数据库一致）,2026-09-12
A,维持 A —— 021-64500738 直接找商务,长三角,上海华岳智造（原上海永采有机玻璃）,上海,上海奉贤,https://www.huayueproduction.com（主体：上海华岳实业有限公司）,商场展示道具 / 新零售专卖店 / 快闪店 / 智慧橱窗 / DP 点道具 / 无人售货店（设计深化—生产制作—表面处理—安装交付）,✓ 一致：21 年行业经验、自有工厂、四大工艺一体；快闪店/DP 点属『以天计交期』，齐套与到店时间看板价值更高,021-64500738 · 17721000960,Business@zg-huayue.com,上海市奉贤区光善路 2 号 / 善乐路 333 号（另设北京·上海·深圳·重庆服务点）,官网 News/案例栏目持续更新（乐高、Coach、祖·玛珑、KOSE-Albion、DR 等案例）；微信同号 17721000960；无公众号/抖音入口,021-64500738 总机 + 17721000960；Business@zg-huayue.com 发「快闪店到店时间」案例,展示道具,展柜道具/橱窗/快闪店/商场DP美陈,案例B,25,百余人+25000㎡自有厂=甜点；连锁品牌客户→门店复制需标准化与溯源；快闪交期以天计,项目制企业重创意轻管理（B2可能低）；多材质工艺现状表单可能极乱,一个连锁客户全国门店的道具齐套+到店时间看板,官网首页/联系方式 + 网易号行业报道 · 核实日 2026-09-11,中,2026-09-11
A,新增·优先接触（案例 A 同类工艺）—— 辊涂工艺与案例 A 高度同构：公开披露员工 720 人，年产 13 亿、32 万㎡厂区，先谈单厂不谈集团,长三角,江苏丽岛新材料股份有限公司,江苏,常州钟楼,https://www.jsldxcl.com,彩涂铝材 / 涂层铝卷 / 焊接蜂窝板 / 铝阳极氧化板 + 精整切割（建筑、交通、工业、食品包装四大应用）,✓ 一致并更强：官网与公开披露证实——2004 年成立、占地 32 万㎡（官网口径，另有 16.68 万㎡ 的旧口径）、年销售 13 亿元、年加工 15 万吨+、员工 720 人、注册资本 2.09 亿；5 条食品级高速辊涂线 + 超宽超厚辊涂线，工艺与案例 A 的「辊涂 + 分切 + 多规格」几乎同构,0519-83250516（总机）· 0519-68881358（证券/公司）,webmaster@jsldxcl.com,江苏省常州市钟楼区龙城大道 1959 号,微信公众号「丽岛新材」（官网「微信扫描关注」）,总机转生产/信息，先问「彩涂线换色/换规格的排产与膜厚记录现在怎么留」；上市公司有预算科目，走「按里程碑分期」节奏，按月推进而不是按周,卷材加工·彩涂铝,彩涂铝卷 / 涂层铝卷 / 精整切割铝材（含新能源电池集流体材料）,案例 A,25,与案例 A 同工艺（辊涂/分切/多规格）、上市公司有预算与合规要求（数据要能审计）、多产线多品种（排产与余料管理复杂）,上市公司决策链长、可能已有 MES/ERP；厂区面积官网存在两种口径（16.68 万 vs 32 万㎡），需现场核对；不适合做「快速试点」,「卷材呆滞与倒冲」：±1~2m 的倒冲精度、30/90/180 呆滞分档，用他们的真实产线数据算一遍账,官网 jsldxcl.com · 同花顺 F10（832374）· 2026-09-12 核实,高（官网 + 公开披露）,2026-09-12
A,维持 A —— 无官网；2026-06 企业专访证实为中外合资（吉尔吉斯斯坦+浙江德福隆）、600+ 经销商 / 200+ 专卖店、双品牌「德艺 / 贵府」，改走经销商体系与永康门博会,长三角,浙江德艺门业有限公司,浙江,金华永康,无独立官网（多轮检索未命中）；公开报道可查,双品牌「德艺 / 贵府」：铸铝门、铜门、高端防盗门、防火门、钢质进户门；自述「通轴技术」为核心卖点,△ 部分（有实质补充）：官网仍未找到，但 2026-06 中华网企业专访披露——中外合资（吉尔吉斯斯坦德氏贸易 + 浙江德福隆电子材料联合设立）、深耕高端门业十余年、600+ 经销商、200+ 专卖店、产品出口东南亚/中东/欧美；获国家高新技术企业、「浙江制造」品字标、浙江省创新型中小企业。规模与渠道比原判断大得多，维持 A 级，但触达走经销商体系而非官网,,,浙江金华永康（待核实）,无独立官网亦无社媒入口 → 线上替代：微信搜一搜「德艺门业」「德艺贵府」（双品牌），或走 600+ 经销商网络与永康国际门业博览会,官网未找到 → 走永康国际门业博览会现场（展位谈 10 分钟）或门都门业协会名录,门业,防火门（钢质甲乙丙级/铸铝/铜门）、入户防盗门、装甲门,案例B,25,防火门=强资质强追溯，与等级匹配同构；承接政府工程→台账与验收记录刚需,永康门业产能过剩价格战，现金流需核实；老板更关心接单而非管理,一樘门完整档案（钢板批号→消防验收）+投标台账导出,中华网企业专访（2026-06-03）· 永康门博会与协会名录（建议） · 核实日 2026-09-12,中,2026-09-12
A,维持 A（偏强）—— 新三板 835979、259 人、14.6k㎡ 厂区，规模与治理双匹配,长三角,上海邑通道具股份有限公司,上海,上海,https://www.hooyigroup.com,品牌门店全周期：形象设计 / 道具制作 / 装修装饰 / 橱窗活动 / 路演快闪 / 智能道具 / 售后维保 / 循环利用 / 道具出口,✓ 一致并补充：**2016 年新三板挂牌（股票代码 835979）**、股本 8150 万、2003 年创立、员工 259 人、工厂 14586 ㎡ —— 挂牌 → 治理与数据规范压力；连锁百店复制 = 标准化与齐套最刚性,021-57406543（营销中心）· 021-57401515（总机）,yxtz@hooyigroup.com,总部：上海市奉贤区大叶公路 2058 弄 9-10 号；市区：闵行区金汇路 463 弄 28 号 A 幢,（待补）—— 挂牌公司官网 hooyigroup.com 以案例与招商为主，微信入口需官网在线留言索取,营销中心 021-57406543 / 总机 021-57401515；yxtz@hooyigroup.com；挂牌公司有专职对接人，直接问「信息化负责人」,展示道具,连锁品牌门店道具全案（设计+制造+安装）,案例B,24,百店级复制=标准化+追溯+齐套，行业中最刚性；交付体系成熟只缺工具,股份公司决策链较长；若挂牌上市则采购流程更正式但周期更长,门店道具的标准化编号与齐套交付,官网联系我们 + 1688 工厂档案 + 百科 · 核实日 2026-09-11,中,2026-09-11
A,新增·优先接触 —— 注册资本 8000 万、4 万㎡厂房、300+ 人；酒店家具天然是非标定制 + 交期敏感，正中案例 B,长三角,名耀家具（苏州）股份有限公司,江苏,苏州相城,http://www.myglory.cn,酒店家具与商用定制家具（酒店客房/公区整体配套，工程设计 + 生产 + 软装）,✓ 一致：官网与工商信息证实——2014 年成立（前身可追溯更早）、注册资本 8000 万、4 万多㎡现代化厂房、300 余人团队，引进意大利/德国生产线；公开报道称其为「医养家具整体解决方案十大服务品牌」之一 → 除酒店外还有医养线,400-828-8559（客服）· 0512-65762092（传真）,官网未公示邮箱（走客服热线与在线留言）,江苏省苏州市相城区玉盘路 668 号（注册：相城区澄阳路 99 号）,微信视频号（官网「关注我们」入口）,400 转市场部，问「酒店项目是按标段交付还是整店交付、安装队是自有还是外包」；切入点用「现场安装齐套 + 变更留痕」，酒店甲方改图纸最频繁,酒店·商用定制家具,酒店家具、商用定制家具、软装配套（含医养线）,案例 B,24,整店交付项目制、300+ 人自有产能、有医养线可交叉印证、公开品牌榜背书,已有信息化的可能（官网自述引进先进生产线）；需确认是否只是设备数控化而非管理数字化,「一单到底」：从签约到开业，一樘柜子的图纸版本、变更、现场补件如何追,官网 myglory.cn · 买购网企业信息 · 行业榜单报道 · 2026-09-12 核实,中高（官网 + 工商 + 媒体报道）,2026-09-12
B,新增·观察 —— 产能与案例 B 同源（防火门/防盗门），注册 8000 万、产能 100 万樘；但 8 条线意味着规模可能已超出甜点区，先核实员工数与自有工序,长三角,浙江神将门业有限公司,浙江,金华武义,http://www.shenjiangdoors.com,防盗安全门、防火门、楼宇门（自动化喷涂线、钣金校平剪切、数控折弯/冲床，8 条生产线，年产能 100 万樘）,✓ 一致：官网 + 行业榜单证实——2006 年成立，坐落武义泉溪镇金岩山工业区，注册资本 8000 万，8 条生产线、年产各类门 100 万樘，碧桂园集团优秀供应商；荣誉：永康市政府质量奖、全国钢质门行业专利优秀奖。官网公示了完整的区域负责人体系（6 个分公司 + 江苏/安徽区域经理）→ 渠道管理已成体系,0579-87968181 / 8185 / 8186 / 8187 / 8188 / 8189（多线）· 15695793160（招商）· 15695793180（大客户）,sale@shenjiangdoors.com,浙江省金华市武义县泉溪镇金岩山工业区,微信公众号 + 微商城 + 招商微信号（官网三入口）,打 0579-87968181 转生产；问「一樘非标门从下单到出货，图纸确认与钣金/喷涂/装配三段怎么衔接」；招商线 15695793160 更快有人接，可说「走访区域经销商」，走渠道口进,门业·防盗/防火门,全防护安全门、防盗门、防火门（8 条生产线，年产能 100 万樘）,案例 B,23,非标门多工序（钣金→喷涂→装配→五金）、经销商渠道管理（一码到底能同时管生产与窜货）、地产战略客户要台账,规模偏大（产能 100 万樘）可能已有系统；武义门业价格战激烈、现金流紧张；员工数官网未公示,从「工程订单台账 + 经销商窜货」进，比讲车间更能打动门业老板,官网 shenjiangdoors.com · ip138 品牌榜 · chinapp 行业榜 · 2026-09-12 核实,中高（官网 + 工商 + 行业榜单）,2026-09-12
